Gene_Name	Interactions
AP1M2	"['HLA-DPA1', 'CLTC', 'HLA-DRA', 'HLA-DQA2', 'DNM2', 'CD74', 'CLTA', 'HLA-DQA1', 'AP1G1', 'AP1S1', 'AP1S3', 'AP1S2', 'AP1B1', 'CLVS1', 'CLVS2', 'B2M', 'HLA-A']"
AP1S1	"['HLA-DRA', 'HLA-DPA1', 'CD74', 'CLTC', 'HLA-DQA2', 'CLTA', 'DNM2', 'HLA-DQA1', 'AP1M2', 'AP1M1', 'AP1G1', 'AP1B1', 'CLVS2', 'CLVS1', 'B2M', 'HLA-A']"
AP1S2	"['CLTC', 'HLA-DPA1', 'CLTA', 'HLA-DQA1', 'HLA-DQA2', 'CD74', 'DNM2', 'HLA-DRA', 'AP1M1', 'AP1M2', 'AP1B1', 'AP1G1', 'CLVS2', 'CLVS1', 'HLA-A', 'B2M']"
AP1S3	"['CLTC', 'HLA-DPA1', 'HLA-DQA1', 'CD74', 'HLA-DQA2', 'DNM2', 'HLA-DRA', 'CLTA', 'AP1M1', 'AP1M2', 'AP1B1', 'AP1G1', 'CLVS1', 'CLVS2', 'HLA-A', 'B2M']"
AP2A1	"['AP2M1', 'AP2S1', 'AP2B1', 'NTRK1', 'NGF', 'SH3GL2', 'NUMB', 'DPYSL2', 'HLA-DQA2', 'HLA-DQA1', 'HLA-DRA', 'HLA-DPA1', 'CD74', 'CLTC', 'CLTA', 'L1CAM', 'PCSK9', 'LDLR', 'AP2A1', 'VLDLR']"
AP2A2	"['AP2M1', 'AP2B1', 'AP2S1', 'NGF', 'NTRK1', 'SH3GL2', 'DPYSL2', 'NUMB', 'HLA-DRA', 'CD74', 'HLA-DPA1', 'HLA-DQA2', 'HLA-DQA1', 'CLTC', 'CLTA', 'L1CAM', 'PCSK9', 'LDLR', 'AP2A1', 'AP2A2', 'VLDLR']"
AP2B1	"['AP2A1', 'AP2M1', 'AP2A2', 'AP2S1', 'NTRK1', 'NGF', 'SH3GL2', 'CD74', 'HLA-DPA1', 'HLA-DQA1', 'HLA-DRA', 'HLA-DQA2', 'CLTC', 'CLTA', 'L1CAM', 'LDLR', 'PCSK9', 'AP2B1', 'VLDLR']"
AP2M1	"['AP2B1', 'AP2A2', 'AP2A1', 'AP2S1', 'NTRK1', 'NGF', 'SH3GL2', 'HLA-DQA1', 'HLA-DRA', 'HLA-DQA2', 'HLA-DPA1', 'CD74', 'CLTA', 'CLTC', 'MYO6', 'L1CAM', 'LDLR', 'PCSK9', 'AP2M1', 'VLDLR', 'DAB2']"
AP2S1	"['AP2M1', 'AP2B1', 'AP2A1', 'AP2A2', 'NTRK1', 'NGF', 'SH3GL2', 'CD74', 'HLA-DPA1', 'HLA-DQA2', 'HLA-DRA', 'HLA-DQA1', 'CLTC', 'CLTA', 'L1CAM', 'LDLR', 'PCSK9', 'AP2S1', 'VLDLR']"
AP3B1	['AP3B1']
AP4B1	"['AP4M1', 'AP4S1', 'AP4E1', 'APP']"
AP4E1	"['AP4M1', 'AP4S1', 'APP']"
AP4M1	"['AP4S1', 'APP']"
AP4S1	"['AP4M1', 'APP']"
APAF1	"['APAF1', 'UACA']"
APBA1	"['LIN7C', 'LIN7B', 'LIN7A']"
APBA3	"['STX1A', 'STXBP1']"
APBB1	"['NBN', 'HIST2H4A', 'HIST3H3', 'H2AFX', 'KAT5', 'ATM', 'MRE11', 'RAD50']"
APBB1IP	"['GRB2', 'SOS1', 'RAP1B', 'RAP1A', 'TLN1', 'PTK2', 'SYK']"
APC	"['BTRC', 'ZRANB1']"
APCS	"['APCS', 'HIST1H3F', 'H3F3B', 'HIST2H4A', 'HIST2H3D']"
