Gene_Name	Interactions
MAPRE1	['MAPRE1']
MARCO	['MARCO']
MARK3	"['BRAP', 'KSR1', 'BRAF', 'YWHAB', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK3', 'MAPK1', 'KRAS', 'HRAS', 'NRAS']"
MASP1	"['MASP1', 'MASP2', 'COLEC11', 'FCN1', 'FCN2', 'FCN3', 'MBL2', 'C2', 'C4B']"
MASP2	"['MASP2', 'FCN3', 'C2', 'C4B']"
MASTL	"['ARPP19', 'ENSA']"
MAT1A	['MAT1A']
MAT2A	['MAT2B']
MAU2	"['PDS5A', 'PDS5B', 'WAPL', 'MAU2']"
MAVS	"['ATG5', 'ATG12', 'RIPK1', 'IFIH1', 'DDX58', 'RNF135', 'TRIM25', 'CHUK', 'IKBKB', 'IKBKG', 'TRAF3', 'IRF3', 'IRF7', 'ITCH', 'FADD', 'CASP8', 'CASP10', 'TBK1', 'IKBKE', 'SIKE1']"
MAX	"['E2F6', 'TFDP1', 'CBX3', 'MYC']"
MBD1	"['SUMO1', 'UBE2I']"
MBL2	"['MBL2', 'MASP1', 'MASP2', 'C2', 'C4B']"
MBOAT4	['GHRL']
MBTPS1	"['ATF6', 'CREB3', 'CREB3L1', 'CREB3L2', 'CREB3L3', 'CREB3L4', 'SREBF1', 'SREBF2', 'SCAP']"
MBTPS2	"['CREB3L3', 'ATF6', 'CREB3', 'CREB3L1', 'CREB3L2', 'CREB3L4', 'SREBF1', 'SREBF2']"
MC2R	['POMC']
MCAT	['NDUFAB1']
MCCC1	['MCCC1']
MCCC2	"['MCCC1', 'MCCC2']"
MCF2	['RHOA']
MCFD2	"['F8', 'F5', 'MCFD2', 'LMAN1']"
MCHR1	['PMCH']
MCHR2	['PMCH']
MCM10	"['RPA4', 'RPA1', 'RPA3', 'RPA2', 'CLSPN', 'CDC6', 'CDT1']"
MCM6	"['MCM7', 'MCM4']"
MCM7	['MCM4']
MCPH1	['SET']
MDC1	"['TP53BP1', 'PAXIP1', 'CHEK2', 'H2AFX', 'ATM', 'HIST2H4A', 'NBN', 'KAT5', 'MRE11', 'RAD50', 'HIST3H3', 'RNF168', 'HERC2', 'UBE2V2', 'PIAS4', 'UBE2N', 'SUMO1', 'RNF8', 'NSD2', 'MDC1', 'UBE2I', 'SUMO2', 'RIF1', 'SUMO3']"
MDH1	['MDH1']
MDH2	['MDH2']
MDK	['MDK']
MDM2	"['CCNG1', 'PPP2R5C', 'MDM2', 'RUNX3', 'CACNG2', 'CACNG4', 'CACNG8', 'CACNG3', 'DLG4', 'USP2', 'TP53', 'CDKN2A', 'SUMO1', 'UBE2I']"
MDM4	"['MDM2', 'USP2', 'TP53', 'CDKN2A']"
ME1	['ME1']
ME2	['ME2']
ME3	['ME3']
MEAF6	"['KAT6A', 'KAT6B', 'BRPF1', 'TP53', 'PML', 'ING5', 'JADE1', 'ING4', 'HIST1H3F']"
MECP2	"['DGCR8', 'FOXG1', 'LBR', 'NCOR2', 'HDAC3', 'GPS2', 'NCOR1', 'TBL1X', 'TBL1XR1', 'Q8BHJ5', 'Q9WU42', 'Q9QXE7', 'Q921N8', 'O88895', 'Q60974', 'HDAC1', 'SIN3A', 'HDAC2', 'MECP2']"
MECR	['MECR']
MEF2A	"['MYOG', 'MYOD1', 'MYF5', 'TCF3', 'MYF6']"
MEF2C	"['MYF6', 'TCF3', 'MYOD1', 'MYOG', 'MYF5']"
MEF2D	['CREB1']
MEFV	"['MEFV', 'PYCARD']"
MEMO1	"['RHOA', 'DIAPH1']"
MEN1	"['CDH1', 'IQGAP1', 'CTNNB1', 'CTNNA1']"
MERTK	"['GAS6', 'PROS1']"
MET	"['HGF', 'MET', 'GRB2', 'CBL', 'SH3KBP1', 'SH3GL2', 'EPS15', 'STAM2', 'STAM', 'HGS', 'MUC20', 'SOS1', 'GAB1', 'RANBP10', 'RANBP9', 'STAT3', 'ITGB1', 'TNS4', 'SRC', 'PTK2', 'CRKL', 'CRK', 'GGA3', 'ARF6', 'RAPGEF1', 'PTPN11', 'P0DQD2', 'P0DQD3', 'LRIG1', 'PLXNB1', 'SEMA4D', 'ARHGAP35', 'RAC1', 'KRAS', 'HRAS', 'NRAS']"
METAP1	['GNAT1']
METAP2	['GNAT1']
METTL1	['WDR4']
METTL14	"['WTAP', 'GTF2F1', 'GTF2F2', 'NCBP2', 'NCBP1']"
METTL21A	['HSPA8']
METTL22	['KIN']
METTL3	"['METTL14', 'WTAP', 'NCBP1', 'NCBP2', 'GTF2F2', 'GTF2F1']"
MFAP2	"['ELN', 'MFAP1', 'MFAP3', 'MFAP4', 'VTN']"
MFAP5	"['ELN', 'VTN', 'MFAP4', 'MFAP3', 'MFAP1']"
MFGE8	['MFGE8']
MFN2	['MFN2']
MGA	"['TFDP1', 'E2F6', 'CBX3', 'MAX']"
MGAM	['MGAM']
MGLL	['MGLL']
MGST1	['MGST1']
MGST2	['MGST2']
MGST3	['MGST3']
MIA3	"['PREB', 'CTAGE5', 'SEC23A']"
MIF	"['MIF', 'CD74']"
MIGA1	"['MIGA1', 'MIGA2']"
MIGA2	['MIGA2']
MIP	['MIP']
MIS12	"['SPC25', 'NUF2', 'KNL1', 'NDC80', 'SPC24']"
MIS18BP1	['MIS18A']
MITF	['SUMO1']
MKL1	"['SUMO1', 'SCAI', 'MKL1', 'UBE2I']"
MKNK1	"['SPRY2', 'PPP2CA', 'PPP2CB', 'PPP2R1A']"
MLH1	"['MLH3', 'PMS2']"
MLKL	"['MLKL', 'RIPK1', 'RIPK3']"
MLN	['MLNR']
MLST8	"['AKT1S1', 'RHEB', 'RPTOR', 'MTOR', 'MLST8', 'SLC38A9', 'RRAGD', 'RRAGB', 'RRAGA', 'RRAGC', 'MAF1']"
MLXIPL	['MLX']
MMAA	"['MMAA', 'MUT']"
MMAB	['MMAB']
MMACHC	['MMADHC']
MME	['AGT']
MMP1	"['A2M', 'MMP9', 'MMP2', 'IGFBP3', 'IGFALS', 'IGF2', 'IGF1', 'NID1', 'P10493']"
MMP12	"['FBN1', 'FBN2', 'NID1', 'P10493']"
MMP13	"['A2M', 'Q7M2W9', 'Q7M2Q5', 'Q7M2Q6', 'Q7M2Q7', 'FBN1', 'FBN2', 'HSPG2', 'OPTC']"
MMP14	"['MMP2', 'DCN', 'HSPG2', 'MMP13', 'MMP14', 'TIMP2', 'LAMA3', 'LAMC2', 'LAMB3', 'LAMA5', 'LAMB1', 'LAMC1', 'P02469', 'Q61001', 'P02468', 'NID1', 'P10493']"
MMP15	"['HSPG2', 'NID1', 'P10493']"
MMP19	['NID1']
MMP2	"['TIMP2', 'MMP14', 'DCN', 'FBN2', 'FBN1', 'OPTC', 'SCUBE3', 'IGF1', 'IGFBP3', 'IGFALS', 'IGF2']"
MMP3	"['A2M', 'MMP7', 'HBEGF', 'Q7M2Q7', 'Q7M2Q6', 'Q7M2Q5', 'DCN', 'CDH1', 'HSPG2', 'MMP13', 'NID1', 'SPP1']"
MMP7	"['DCN', 'CDH1', 'MMP2', 'LAMB3', 'LAMA3', 'LAMC2', 'OPTC', 'NID1', 'SPP1']"
MMP9	"['Q7M2W9', 'G3MXK9', 'CDH1', 'FBN1', 'FBN2', 'SCUBE3', 'NID1', 'P10493', 'KITLG']"
MMS19	"['FAM96B', 'NARFL']"
MNAT1	"['CDK7', 'CCNH', 'CDK1', 'CDK2', 'CCNB1', 'CDK4', 'CDKN1A', 'CDKN1B', 'CCND1']"
MND1	['PSMC3IP']
MOB1A	"['LATS1', 'LATS2']"
MOB1B	"['LATS1', 'LATS2']"
MOCS1	['MOCS1']
MOCS2	['MOCS2']
MOCS3	['MOCS2']
MON1A	"['CHML', 'GDI2', 'GDI1', 'CHM', 'RAB7A']"
MOV10	"['AGO4', 'AGO3', 'AGO1', 'AGO2']"
MPC2	['MPC1']
MPIG6B	"['PTPN6', 'PTPN11']"
MPO	['MPO']
MPRIP	['MPRIP']
MPST	['TXN2']
MRAS	"['SHOC2', 'PPP1CC', 'PPP1CB']"
MRC1	['P9WGU1']
MRE11	"['BRIP1', 'WRN', 'RMI1', 'DNA2', 'EXO1', 'BARD1', 'BLM', 'RMI2', 'RBBP8', 'TOP3A', 'BRCA1', 'ATM', 'KAT5', 'ATRIP', 'ATR', 'TP53BP1', 'PAXIP1', 'CHEK2', 'HIST3H3', 'HIST2H4A', 'H2AFX', 'CDK2', 'PIAS4', 'SUMO1', 'RNF168', 'RNF8', 'UBE2N', 'HERC2', 'UBE2V2', 'NSD2', 'MDC1', 'LIG3', 'XRCC1', 'RAD50', 'RPA3', 'RPA2', 'RPA1', 'NBN', 'UBE2I', 'SUMO2', 'RIF1']"
MRRF	['GFM2']
MS4A2	"['FCER1A', 'MS4A2', 'FCER1G', 'SYK', 'GAB2', 'LAT2', 'SOS1', 'SHC1', 'GRB2']"
MSH2	"['PMS2', 'MLH1', 'PCNA', 'MSH3', 'MSH6']"
MSH3	"['MLH1', 'PMS2', 'PCNA', 'MSH2']"
MSH5	['MSH4']
MSH6	"['PCNA', 'MLH1', 'PMS2', 'MSH2']"
MSL1	"['MSL3', 'KAT8', 'MSL2', 'HIST2H4A']"
MSL2	['HIST2H4A']
MSL3	"['MSL2', 'HIST2H4A']"
MSR1	['MSR1']
MSRA	['TXN']
MSRB1	['TXN']
MSRB2	['TXN']
MSRB3	['TXN']
MST1	['MST1']
MST1R	"['MST1', 'MST1R']"
MSTN	['MSTN']
MT-ND1	"['NDUFAF6', 'MT-ND2', 'NDUFB6', 'MT-ND3', 'MT-ND6', 'MT-ND4', 'MT-ND5']"
MT-ND2	"['MT-ND6', 'NDUFB6', 'MT-ND4', 'MT-ND5']"
MT-ND3	"['MT-ND2', 'NDUFB6', 'MT-ND6', 'MT-ND4', 'MT-ND5']"
MT-ND4	['MT-ND5']
MT-ND6	"['NDUFB6', 'MT-ND5', 'MT-ND4']"
MT-RNR2	['FPR3']
MTAP	['MTAP']
MTF1	['MTF1']
MTHFD1	['MTHFD1']
MTHFD1L	['MTHFD1L']
MTHFR	['MTHFR']
MTIF2	['MTIF3']
MTMR10	['Q9Z2D1']
MTMR12	"['MTM1', 'MTMR2']"
MTMR2	"['MTMR2', 'MTMR10', 'SBF1', 'SBF2']"
MTMR4	"['SMAD3', 'SMAD2']"
MTMR9	"['MTMR6', 'MTMR7', 'MTMR8']"
MTOR	"['RPTOR', 'AKT1S1', 'MLST8', 'RHEB', 'MTOR', 'RRAGA', 'RRAGB', 'SLC38A9', 'RRAGD', 'RRAGC', 'AKT1', 'EIF4EBP1', 'EIF4E', 'HSF1', 'SGK1', 'MAF1', 'RPS6KB1']"
MTREX	"['MPHOSPH6', 'EXOSC10', 'C1D']"
MTRR	['MTR']
MTTP	['APOB']
MTX2	['MTX1']
MUS81	"['EME1', 'EME2', 'SLX1B', 'SLX4', 'RAD51C', 'XRCC3', 'MUS81']"
MUSK	"['AGRN', 'LRP4', 'MUSK']"
MUT	['MUT']
MVB12A	['P04591']
MVB12B	['P04591']
MVD	['MVD']
MVK	['MVK']
MYB	"['RUNX1', 'CBFB', 'SIN3A', 'TP53']"
MYBL2	['FOXM1']
MYBPC1	"['MYL3', 'MYH8', 'MYH6', 'MYL4', 'MYL1', 'MYL2', 'MYH3', 'TTN']"
MYBPC2	"['MYL4', 'MYL1', 'MYL2', 'MYL3', 'MYH6', 'MYH8', 'MYH3', 'TTN']"
MYBPC3	"['MYH6', 'MYL4', 'MYL1', 'MYH8', 'MYH3', 'MYL2', 'MYL3', 'TTN']"
MYC	"['KDM1A', 'ESR1', 'H3F3B', 'HIST1H3F', 'HIST2H4A', 'HIST1H2AC', 'HIST2H3D']"
MYD88	"['DHX36', 'IRAK4', 'TOLLIP', 'IRAK1', 'TRAF6', 'IRAK2', 'IRF7', 'MYD88', 'TLR7', 'TLR9', 'TLR8', 'NGF', 'NGFR', 'TLR5', 'TLR10', 'P04949', 'DHX9']"
MYH10	['MYH10']
MYH11	"['MYH11', 'MYH10', 'MYH14']"
MYH14	"['MYH10', 'MYH14']"
MYH2	"['ACTB', 'ACTG1']"
MYH3	"['MYL4', 'MYH3', 'MYL2', 'MYH8', 'MYL1', 'MYL3', 'MYH6', 'MYBPC3', 'TTN', 'MYBPC2', 'MYBPC1']"
MYH6	"['MYL4', 'MYL2', 'MYH8', 'MYL1', 'MYH6', 'MYL3', 'MYBPC2', 'MYBPC1', 'TTN', 'MYBPC3', 'MYH3']"
MYH8	"['MYH8', 'MYL1', 'MYL4', 'MYL3', 'MYL2', 'MYBPC2', 'TTN', 'MYBPC3', 'MYBPC1', 'MYH3', 'MYH6']"
MYH9	"['MYH9', 'MYH10', 'MYH11', 'MYH14', 'CD163']"
MYL1	"['MYL1', 'TTN', 'MYBPC1', 'MYBPC3', 'MYBPC2']"
MYL12A	"['MYH11', 'MYH9', 'MYL12A', 'MYH10', 'MYH14', 'MYL6']"
MYL2	"['MYL2', 'MYL1', 'MYL3', 'MYL4', 'MYBPC2', 'MYBPC3', 'TTN', 'MYBPC1']"
MYL3	"['MYL1', 'MYL4', 'MYL3', 'MYBPC3', 'TTN', 'MYBPC2', 'MYBPC1']"
MYL4	"['MYL4', 'MYL1', 'MYBPC1', 'MYBPC2', 'MYBPC3', 'TTN']"
MYL6	"['MYH14', 'MYH11', 'MYH10', 'MYL6', 'MYH9']"
MYL9	"['MYL9', 'MYH9', 'MYH11', 'MYL12A', 'MYH10', 'MYL6', 'MYH14']"
MYLIP	"['MYLIP', 'VLDLR']"
MYLK	"['MYH9', 'MYL12A', 'MYL6', 'MYL9', 'MYH11', 'MYH14', 'MYH10']"
MYO10	"['ACTB', 'ACTG1', 'DCC', 'NEO1', 'MYO10']"
MYO18A	['MYO18A']
MYO1C	"['ACTB', 'CALM3', 'ACTG1']"
MYO5A	"['MYO5A', 'MYRIP']"
MYO5B	['RAB11A']
MYO9B	['RHOA']
N6AMT1	"['GSPT2', 'GSPT1', 'ETF1']"
NAA30	"['NAA35', 'NAA38', 'ARFRP1']"
NAA35	['ARFRP1']
NAA38	"['NAA35', 'ARFRP1']"
NAAA	['NAAA']
NAALAD2	['NAALAD2']
NAB1	"['NAB1', 'EGR1', 'NAB2', 'SOX10', 'EGR2']"
NAB2	"['NAB2', 'EGR1', 'SOX10', 'EGR2']"
NADK	['NADK']
NADK2	['NADK2']
NADSYN1	['NADSYN1']
NAE1	"['UBE2F', 'UBE2M', 'UBA3', 'NEDD8']"
NAGK	['NAGK']
NANOG	['POU5F1']
NAPA	"['NAPA', 'USE1', 'BNIP1', 'SEC22B', 'STX18', 'NSF', 'STX10', 'STX16', 'VTI1A', 'VAMP3', 'STX5', 'GOSR1', 'YKT6', 'BET1L', 'STX6', 'VAMP4', 'BET1', 'GOSR2', 'SCFD1']"
NAPRT	['NAPRT']
NARFL	['FAM96B']
NAT10	['THUMPD1']
NAT8	['BACE1']
NAT8B	['BACE1']
NAXE	['NAXE']
NBAS	"['RINT1', 'ZW10', 'STX18', 'USE1', 'BNIP1']"
NBEA	['DLG3']
NBN	"['BRCA1', 'BLM', 'RMI2', 'BARD1', 'RBBP8', 'RMI1', 'EXO1', 'WRN', 'BRIP1', 'TOP3A', 'DNA2', 'KAT5', 'ATM', 'ATRIP', 'ATR', 'TP53BP1', 'PAXIP1', 'CHEK2', 'HIST2H4A', 'H2AFX', 'HIST3H3', 'CDK2', 'HERC2', 'UBE2V2', 'SUMO1', 'PIAS4', 'RNF168', 'RNF8', 'UBE2N', 'NSD2', 'MDC1', 'LIG3', 'XRCC1', 'RAD50', 'MRE11', 'KPNA2', 'RPA1', 'RPA3', 'RPA2', 'UBE2I', 'SUMO2', 'RIF1']"
NBR1	"['PEX5', 'ATM', 'SQSTM1', 'MAP1LC3B']"
NCAM1	"['AGRN', 'PTPRA', 'SPTA1', 'SPTAN1', 'PTK2', 'SOS1', 'GRB2', 'L1CAM', 'NCAM1', 'FYN', 'FGFR1', 'PSPN', 'GDNF', 'NRTN', 'ARTN']"
NCAN	"['L1CAM', 'NCAM1']"
NCBP1	"['NELFE', 'NELFB', 'NELFCD', 'NELFA', 'NCBP2', 'HNRNPA1', 'PTBP1', 'GTF2F1', 'GTF2F2', 'SUPT4H1', 'SUPT5H', 'CTDP1', 'PABPC1', 'ALYREF', 'NXF1', 'CDK9', 'CCNT1', 'CCNK', 'CCNT2']"
NCBP2	"['NELFCD', 'NELFE', 'NELFA', 'NELFB', 'NCBP1', 'HNRNPA1', 'PTBP1', 'GTF2F1', 'GTF2F2', 'SUPT5H', 'SUPT4H1', 'CTDP1', 'PABPC1', 'ALYREF', 'NXF1', 'CDK9', 'CCNT2', 'CCNT1', 'CCNK']"
NCF1	"['NCF2', 'CYBB', 'CYBA', 'RAC1', 'RAC2', 'S100A9', 'S100A8', 'NOX3', 'PIN1']"
NCF2	"['NCF1', 'CYBA', 'CYBB', 'RAC1', 'RAC2', 'S100A9', 'S100A8', 'NOX3', 'PIN1']"
NCF4	"['NCF1', 'NCF2', 'CYBA', 'CYBB', 'RAC1', 'RAC2', 'S100A9', 'S100A8', 'PIN1']"
NCK1	"['TRIO', 'DOCK1', 'CDC42', 'RAC1', 'ABLIM1', 'ABLIM3', 'ABLIM2', 'SOS1', 'SOS2', 'FYN', 'PAK2', 'WAS', 'PAK3', 'PAK1', 'WASL', 'WIPF2', 'WIPF1', 'WIPF3']"
NCK2	"['EFNB2', 'EFNB3', 'SRC', 'FYN', 'EFNB1', 'GIT1', 'ARHGEF7', 'RAC1', 'PAK1', 'PAK3', 'SLIT1', 'ROBO1', 'ROBO2', 'SOS2', 'SOS1', 'CDC42', 'PAK2']"
NCKIPSD	"['WAS', 'WIPF2', 'WIPF1', 'WIPF3', 'WASL', 'CDC42']"
NCOA1	"['SUMO1', 'ESR1', 'PAX3', 'NR1H4', 'RXRA', 'NCOA2', 'NR1H3', 'RXRB', 'NR1H2', 'UBE2I']"
NCOA2	"['SUMO1', 'RXRA', 'AR', 'UBE2I']"
NCOA3	"['EP300', 'ESR1', 'NCOA3', 'HIST1H3F', 'ZNF217', 'H3F3B', 'NR5A2', 'HIST2H3D', 'HIST2H4A']"
NCOR1	"['RXRA', 'NR1H3', 'NR1H2', 'RXRB', 'ERBB4', 'TBL1X', 'HDAC3', 'TBL1XR1', 'NCOR1', 'Q9QXE7', 'Q8BHJ5', 'NCOR2', 'TAB2', 'SKI', 'SMAD2', 'SMAD4', 'SKIL', 'SMAD3', 'Q99ML9']"
NCOR2	"['RXRA', 'NR1H3', 'NR1H2', 'RXRB', 'TBL1X', 'TBL1XR1', 'HDAC3', 'NCOR2', 'Q9QXE7', 'Q8BHJ5', 'SUMO1', 'SMAD3', 'SKIL', 'SMAD2', 'SMAD4', 'SKI', 'Q99ML9']"
NCR3LG1	"['FCGR1A', 'NCR3', 'CD247']"
NCSTN	"['PSEN1', 'PSENEN', 'ERBB4', 'CDH1', 'APP', 'ITGB3BP', 'NGFR', 'NGF', 'TRAF6']"
NDC1	"['NUP62', 'NUP58', 'NUP54', 'NDC1']"
NDC80	"['SPC25', 'NUF2']"
NDUFAB1	['GCSH']
NDUFAF1	"['TMEM126B', 'ACAD9']"
NDUFAF3	"['NDUFAF5', 'MT-ND1', 'NDUFAF6', 'MT-ND4', 'MT-ND5']"
NDUFAF4	"['MT-ND1', 'NDUFAF6', 'NDUFAF5', 'MT-ND4', 'MT-ND5', 'NDUFAF3', 'TIMMDC1']"
NDUFAF5	"['MT-ND1', 'NDUFAF6', 'MT-ND4', 'MT-ND5']"
NDUFAF6	"['MT-ND5', 'MT-ND4']"
NDUFB6	"['MT-ND4', 'MT-ND5']"
NDUFS2	['NDUFAF7']
NDUFS5	"['MT-ND5', 'TIMMDC1', 'NDUFAF6', 'NDUFAF5', 'NDUFAF3', 'MT-ND4', 'MT-ND1', 'NDUFAF4', 'MT-ND2', 'MT-ND3', 'MT-ND6', 'NDUFB6']"
NECTIN1	"['CADM3', 'NECTIN1', 'NECTIN2', 'NECTIN4', 'NECTIN3']"
NECTIN2	['NECTIN2']
NECTIN3	"['CADM3', 'NECTIN3', 'NECTIN4', 'NECTIN1', 'NECTIN2', 'CADM1', 'PVR']"
NECTIN4	"['NECTIN4', 'NECTIN2', 'NECTIN1']"
NEDD4	"['ERBB4', 'ISG15']"
NEDD4L	"['SGK1', 'SGK3', 'SGK2', 'SMAD7', 'O35253', 'TGFBR2', 'TGFBR1', 'TGFB1']"
NEDD8	"['UBE2F', 'UBE2M', 'DCUN1D1', 'CUL4A', 'CUL4B', 'DDB1', 'CCDC22', 'COMMD1', 'RBX1', 'SKP1', 'UBA3', 'NEDD8', 'TGFBR2', 'UCHL3', 'SENP8']"
NEFL	"['ACTN2', 'CAMK2B', 'CAMK2G', 'CAMK2A', 'CALM3', 'CAMK2D', 'HRAS', 'KRAS', 'NRAS']"
NEIL1	"['XRCC1', 'PNKP', 'LIG3', 'POLB', 'OGG1']"
NEIL3	"['HIST3H3', 'HIST2H4A', 'POT1']"
NEK6	"['NEK9', 'EML4']"
NEK9	['NEK9']
NELFA	"['NELFCD', 'CCNK', 'CDK9', 'CCNT2', 'CCNT1']"
NELFB	"['NELFE', 'NELFCD', 'NELFA', 'NTRK3', 'CCNT2', 'CDK9', 'CCNT1', 'CCNK']"
NELFCD	"['CDK9', 'CCNK', 'CCNT2', 'CCNT1']"
NELFE	"['NELFCD', 'NELFA', 'CCNT1', 'CCNK', 'CCNT2', 'CDK9']"
NEU1	"['GLB1', 'CTSA']"
NEU4	"['GLB1', 'CTSA']"
NF2	['PAK1']
NFASC	"['NRCAM', 'SPTAN1', 'SPTA1', 'ACTB', 'ACTG1', 'SCN1B', 'SCN5A', 'KCNQ3', 'KCNQ2', 'NFASC', 'ANK1', 'CNTNAP1', 'CNTN1', 'SDCBP']"
NFATC1	"['PPP3R1', 'PPP3CB', 'CALM3', 'PPP3CA']"
NFATC2	"['PPP3R1', 'PPP3CA', 'PPP3CB', 'CALM3']"
NFATC3	"['CALM3', 'PPP3CB', 'PPP3R1', 'PPP3CA']"
NFE2	"['MAFK', 'MAFG', 'MAFF']"
NFKB1	"['NFKBIA', 'REL', 'NFKBIE', 'NFKBIB', 'NFKB1', 'RELA', 'TNIP2', 'MAP3K8', 'EP300', 'CREBBP', 'SKP1', 'CUL1', 'BTRC', 'FBXW11']"
NFKB2	"['CUL1', 'BTRC', 'FBXW11', 'SKP1', 'MAP3K14', 'CHUK', 'RELB', 'RELA', 'NFKBIB', 'NFKBIA', 'UBE2I', 'SUMO1']"
NFKBIA	"['RELA', 'NFKB1', 'REL', 'NFKB2', 'SUMO1', 'UBE2I']"
NFKBIB	"['NFKB1', 'REL', 'RELA']"
NFKBIE	"['REL', 'NFKB1', 'RELA']"
NFS1	"['NFS1', 'FXN', 'MOCS3']"
NFYA	"['NFYB', 'CREBBP', 'EP300', 'SREBF1', 'SREBF2', 'SP1']"
NFYB	"['EP300', 'CREBBP', 'SREBF1', 'SREBF2', 'SP1']"
NFYC	"['NFYB', 'NFYA', 'CREBBP', 'EP300', 'SREBF1', 'SREBF2', 'SP1']"
NGEF	['RHOA']
NGF	"['NTRK1', 'IRS1', 'IRS2', 'BRAF', 'PLCG1', 'FRS2', 'RAPGEF1', 'YWHAE', 'SQSTM1', 'IRAK1', 'NGFR', 'NGF', 'RAP1A', 'AATF', 'MAPK8', 'SMPD2']"
NGFR	"['ARHGDIA', 'NFKB1', 'RELA', 'YWHAE', 'SQSTM1', 'IRAK1', 'LINGO1', 'MAG', 'RTN4', 'OMG', 'NGF', 'AATF', 'MAPK8', 'SMPD2']"
NHEJ1	"['NHEJ1', 'XRCC4', 'XRCC5', 'DCLRE1C', 'POLM', 'LIG4', 'POLL', 'XRCC6', 'PRKDC']"
NID1	['HSPG2']
NID2	['HSPG2']
NIPBL	"['PDS5A', 'WAPL', 'PDS5B', 'MAU2', 'NIPBL']"
NKX2-5	"['HIPK2', 'HIPK1']"
NLGN1	['NLGN1']
NLGN2	['NLGN2']
NLGN3	['NLGN3']
NLGN4X	['NLGN4X']
NLGN4Y	['NLGN4Y']
NLK	"['NLK', 'TCF7L2', 'CTNNB1', 'LEF1']"
NLN	['NTS']
NLRC4	['CASP1']
NLRC5	"['RNF135', 'DDX58', 'TRIM25', 'IFIH1']"
NLRP1	"['NLRP1', 'BCL2', 'BCL2L1']"
NLRP3	"['P09616', 'NLRP3', 'HSP90AB1', 'APP', 'SUGT1', 'ABRAXAS2', 'BABAM2', 'BABAM1', 'BRCC3', 'PYCARD', 'CASP1', 'TXNIP']"
NLRX1	['MAVS']
NMBR	"['GRP', 'NMB']"
NME1	['NME1']
NME1-NME2	"['NME1-NME2', 'NME1']"
NME3	"['NME3', 'NME1']"
NME4	['NME4']
NMNAT1	['NMNAT1']
NMNAT3	['NMNAT3']
NMRAL1	"['ASS1', 'NMRAL1']"
NMS	['NMUR2']
NMT1	"['P04601', 'BID', 'GNAT1']"
NMT2	"['P04591', 'GNAT1']"
NMUR1	['NMU']
NMUR2	['NMU']
NNT	['NNT']
NOC2L	['AURKB']
NOD1	"['NOD1', 'RIPK2', 'IKBKG', 'TAB3', 'TAB2', 'TAB1', 'MAP3K7', 'CARD9']"
NOD2	"['NOD2', 'RIPK2', 'IKBKG', 'MAP3K7', 'TAB1', 'TAB3', 'TAB2', 'CARD9']"
NODAL	"['CER1', 'NODAL', 'LEFTY1', 'LEFTY2']"
NOL6	['RRP36']
NOP58	"['SUMO1', 'UBE2I']"
NOS1	['ATP2B4']
NOS3	"['HSP90AA1', 'AKT1', 'NOSTRIN', 'NOSIP', 'NOS3', 'CAV1', 'CALM3', 'WASL']"
NOSTRIN	"['NOSTRIN', 'WASL', 'CAV1', 'DNM2']"
NOTCH1	"['DLL1', 'DLL4', 'NOTCH1', 'JAG1', 'JAG2', 'NBEA', 'SNW1', 'ARRB1', 'ARRB2', 'ITCH']"
NOTCH2	"['NOTCH2', 'JAG2', 'MDK', 'MAML1', 'MAML2', 'MAML3', 'EP300']"
NOTCH3	"['DLL1', 'EGF', 'EGFR', 'NOTCH3', 'JAG2', 'MAML2', 'MAML3', 'MAML1', 'STAT1', 'DLL4', 'WWP2']"
NOTCH4	['NOTCH4']
NOTUM	"['GPC5', 'SHH']"
NOX1	"['NOXA1', 'NOXO1', 'RAC1']"
NOX3	['RAC1']
NOX4	['CYBA']
NOXA1	"['RAC1', 'NOX3', 'NCF1']"
NOXO1	"['NOXA1', 'RAC1']"
NPAS2	"['CRY2', 'CRY1']"
NPB	"['NPBWR2', 'NPBWR1']"
NPC1	['NPC2']
NPFFR1	['NPFF']
NPFFR2	['NPFF']
NPHP1	"['RPGRIP1L', 'NPHP4']"
NPHP3	['UNC119B']
NPHP4	['RPGRIP1L']
NPHS1	"['NCK1', 'NCK2', 'NPHS1', 'KIRREL1', 'KIRREL3', 'KIRREL2', 'CASK', 'IQGAP1', 'ACTN1', 'SPTAN1', 'ACTN3', 'MAGI2', 'SPTBN1', 'ACTN2', 'ACTN4', 'PIK3R1', 'PIK3CB', 'PIK3R2', 'PIK3CA']"
NPHS2	"['NPHS2', 'FYN', 'NPHS1', 'KIRREL1']"
NPL	['NPL']
NPLOC4	"['VCP', 'UFD1', 'PCNA', 'RPA3', 'RPA2', 'RPA1', 'SPRTN', 'POLH']"
NPM1	"['P04618', 'KPNB1', 'RAN', 'SUMO1', 'UBE2I']"
NPPA	['NPPA']
NPPC	['NPR2']
NPR1	"['NPPA', 'NPR1']"
NPRL2	"['DEPDC5', 'CASTOR1', 'CASTOR2']"
NPRL3	"['DEPDC5', 'NPRL2', 'CASTOR1', 'CASTOR2']"
NPSR1	['NPS']
NPTN	"['GABRQ', 'GABRG3', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRG2']"
NPW	"['NPBWR2', 'NPBWR1']"
