ACOT11A,1,1,1,1,0,1,1,0,1
ACOT11B,1,1,1,1,0,1,1,0,1
ACOT12,14,14,14,14,0,14,14,0,14
ACOT13,19,19,19,19,0,19,19,0,19
ACOT16,1,1,1,1,0,1,1,0,1
ACOT2,22,22,22,22,0,22,22,0,22
ACOT3,22,22,22,22,0,22,22,0,22
ACOT4,21,21,21,21,0,21,21,0,21
ACOT5,2,2,2,2,0,2,2,0,2
ACOT6,1,1,1,1,0,1,1,0,1
ACOT7,18,18,18,18,0,18,18,0,18
ACOT8,15,15,15,15,0,15,15,0,15
ACOT9,31,31,31,31,0,31,31,0,31
ACOX-1.1,3,3,3,3,0,3,3,0,3
ACOX-1.2,5,5,5,5,0,5,5,0,5
ACOX-1.4,5,5,5,5,0,5,5,0,5
ACOX-1.5,3,3,3,3,0,3,3,0,3
ACOX-3,1,1,1,1,0,1,1,0,1
ACOX1,37,37,37,37,0,37,37,0,37
ACOX2,19,19,19,19,0,19,19,0,19
ACOX3,15,15,15,15,0,15,15,0,15
ACOX57D-P,6,6,6,6,0,6,6,0,6
ACOXL,11,11,11,11,0,11,11,0,11
ACP1,15,15,15,15,0,15,15,0,15
ACP2,18,18,18,18,0,18,18,0,18
ACP3,20,20,20,20,0,20,20,0,20
ACP4,10,10,10,10,0,10,10,0,10
ACP5,26,26,26,26,0,26,26,0,26
ACP53C14A,2,2,2,2,0,2,2,0,2
ACP5A,4,4,4,4,0,4,4,0,4
ACP6,17,17,17,17,0,17,17,0,17
ACP7,1,1,1,1,0,1,1,0,1
ACPL2,17,17,17,17,0,17,17,0,17
ACPP,7,7,7,7,0,7,7,0,7
ACR,15,15,15,15,0,15,15,0,15
ACRBP,12,12,12,12,0,12,12,0,12
ACRV1,1,1,1,1,0,1,1,0,1
ACS-1,2,2,2,2,0,2,2,0,2
ACS-10,1,1,1,1,0,1,1,0,1
ACS-15,1,1,1,1,0,1,1,0,1
ACS-17,6,6,6,6,0,6,6,0,6
ACS-18,1,1,1,1,0,1,1,0,1
ACS-2,1,1,1,1,0,1,1,0,1
ACS-20,1,1,1,1,0,1,1,0,1
ACS-3,3,3,3,3,0,3,3,0,3
ACS-5,3,3,3,3,0,3,3,0,3
ACS-7,1,1,1,1,0,1,1,0,1
ACSBG1,12,12,12,12,0,12,12,0,12
ACSBG2,10,10,10,10,0,10,10,0,10
ACSBG2.L,1,1,1,1,0,1,1,0,1
ACSF2,17,17,17,17,0,17,17,0,17
ACSF3,14,14,14,14,0,14,14,0,14
ACSL,19,19,19,19,0,19,19,0,19
ACSL1,34,34,34,34,0,34,34,0,34
ACSL1A,3,3,3,3,0,3,3,0,3
ACSL1B,11,11,11,11,0,11,11,0,11
ACSL3,34,34,34,34,0,34,34,0,34
ACSL4,39,39,39,39,0,39,39,0,39
ACSL4A,1,1,1,1,0,1,1,0,1
ACSL4B,1,1,1,1,0,1,1,0,1
ACSL5,28,28,28,28,0,28,28,0,28
ACSL6,23,23,23,23,0,23,23,0,23
ACSM1,12,12,12,12,0,12,12,0,12
ACSM2,7,7,7,7,0,7,7,0,7
ACSM2A,13,13,13,13,0,13,13,0,13
ACSM2B,10,10,10,10,0,10,10,0,10
ACSM3,29,29,29,29,0,29,29,0,29
ACSM5,10,10,10,10,0,10,10,0,10
ACSS1,19,19,19,19,0,19,19,0,19
ACSS2,25,25,25,25,0,25,25,0,25
ACSS3,11,11,11,11,0,11,11,0,11
ACT57B,2,2,2,2,0,2,2,0,2
ACT5C,10,10,10,10,0,10,10,0,10
ACT87E,2,2,2,2,0,2,2,0,2
ACT88F,11,11,11,11,0,11,11,0,11
ACTA1,36,36,36,36,0,36,36,0,36
ACTA1A,9,9,9,9,0,9,9,0,9
ACTA1B,1,1,1,1,0,1,1,0,1
ACTA2,46,46,46,46,0,46,46,0,46
ACTB,31,31,31,31,0,31,31,0,31
ACTB1,1,1,1,1,0,1,1,0,1
ACTB2,1,1,1,1,0,1,1,0,1
ACTBL2,4,4,4,4,0,4,4,0,4
ACTC,1,1,1,1,0,1,1,0,1
ACTC1,32,32,32,32,0,32,32,0,32
ACTC1A,1,1,1,1,0,1,1,0,1
ACTC1B,10,10,10,10,0,10,10,0,10
ACTG1,29,29,29,29,0,29,29,0,29
ACTG1P20,1,1,1,1,0,1,1,0,1
ACTG1P4,1,1,1,1,0,1,1,0,1
ACTG2,23,23,23,23,0,23,23,0,23
ACTL10,12,12,12,12,0,12,12,0,12
ACTL6A,11,11,11,11,0,11,11,0,11
ACTL6B,16,16,16,16,0,16,16,0,16
ACTL7A,9,9,9,9,0,9,9,0,9
ACTL7B,9,9,9,9,0,9,9,0,9
ACTL8,10,10,10,10,0,10,10,0,10
ACTL9,12,12,12,12,0,12,12,0,12
ACTN1,30,30,30,30,0,30,30,0,30
ACTN2,18,18,18,18,0,18,18,0,18
ACTN3,11,11,11,11,0,11,11,0,11
ACTN3B,9,9,9,9,0,9,9,0,9
ACTN4,12,12,12,12,0,12,12,0,12
ACTR10,15,15,15,15,0,15,15,0,15
ACTR1A,21,21,21,21,0,21,21,0,21
ACTR1B,12,12,12,12,0,12,12,0,12
ACTR2,22,22,22,22,0,22,22,0,22
ACTR2A,1,1,1,1,0,1,1,0,1
ACTR3,20,20,20,20,0,20,20,0,20
ACTR3B,10,10,10,10,0,10,10,0,10
