,gene,ndiseases
1022,TRRAP,2
1023,TSC1,3
1024,TSC2,3
1025,TSEN54,3
1026,TSHR,5
1027,TSPEAR,2
1028,TTC21B,2
1029,TTC8,2
1030,TTN,6
1031,TTR,3
1032,TUBB,2
1033,TUBB3,2
1034,TUBB4A,2
1035,TWIST1,4
1036,TWIST2,3
1037,TYR,6
1038,TYRP1,2
1039,UBA5,2
1040,UCHL1,2
1041,UFSP2,2
1042,UGT1A1,5
1043,UNC119,2
1044,UNC45B,2
1045,USH2A,2
1046,VAMP1,2
1047,VANGL1,2
1048,VCP,3
1049,VHL,5
1050,VKORC1,2
1051,VSX1,2
1052,VSX2,2
1053,WAS,4
1054,WASHC5,2
1055,WDPCP,2
1056,WDR19,4
1057,WDR4,2
1058,WDR81,2
1059,WFS1,5
1060,WNK1,2
1061,WNT1,2
1062,WNT10A,3
1063,WNT10B,2
1064,WNT4,2
1065,WNT7A,2
1066,WT1,6
1067,WWOX,3
1068,XRCC2,3
1069,XRCC3,2
1070,XYLT1,2
1071,XYLT2,2
1072,ZAP70,2
1073,ZBTB16,2
1074,ZFPM2,3
1075,ZIC1,2
1076,ZIC3,2
1077,ZMPSTE24,2
1078,ZNF408,2
1079,ZNF423,2
1080,ZSWIM6,2
0,CHRNB1,1
1,CHRNE,1
2,CHRNG,1
3,ACTG2,1
4,ACTN1,1
5,ACVR1,1
6,PML,1
7,RFC1,1
8,STAT3,1
9,APRT,1
10,ADK,1
11,AMPD1,1
12,AK1,1
13,AK2,1
14,ARF1,1
15,FDXR,1
16,AGRN,1
17,ADH5,1
18,ALDOA,1
19,AFP,1
20,ZFHX3,1
21,GANAB,1
22,NAGA,1
23,LRPAP1,1
24,SLC3A1,1
25,ACY1,1
26,ANG,1
27,ANK2,1
28,CD19,1
29,CD59,1
30,SERPINC1,1
31,SLC9A1,1
32,ALDH7A1,1
33,TFAP2A,1
34,APOC3,1
35,APOB,1
36,AQP2,1
37,RARS1,1
38,CYP19A1,1
39,DDC,1
40,ASNS,1
41,NARS1,1
42,ATP2A1,1
43,ATP6V1E1,1
44,CALR,1
45,CD40,1
46,BLVRA,1
47,HTR1A,1
48,CD79A,1
49,BMP1,1
50,RPL13,1
51,CAD,1
52,CDH15,1
53,CDH3,1
54,CTNNA2,1
55,CAMK2A,1
56,CAST,1
57,PPP3CA,1
58,CALM2,1
59,CACNA1C,1
60,CAPN1,1
61,CAPN3,1
62,CASQ1,1
63,CASQ2,1
64,CA5A,1
65,CA8,1
66,CES1,1
67,CEL,1
68,CSNK2A1,1
69,CSNK2B,1
70,CAT,1
71,CTNNA1,1
72,CTSD,1
73,CUX1,1
74,CEBPA,1
75,CDC42,1
76,CNBP,1
77,HSPD1,1
78,CHN1,1
79,CYP11A1,1
80,CHAT,1
81,CHRM3,1
82,CHRNA2,1
83,CHRNB2,1
84,VCAN,1
85,CLTC,1
86,COL10A1,1
87,COL5A2,1
88,COL5A1,1
89,COL6A1,1
90,COL6A2,1
91,COL8A2,1
92,COL13A1,1
93,MMP2,1
94,MMP9,1
95,C1QA,1
96,C1QB,1
97,C1QC,1
98,C4B,1
99,C8A,1
100,C8B,1
101,GJA3,1
102,SERPINA6,1
103,CRYAA,1
104,CRYBA1,1
105,CRYBB2,1
106,CRYBB3,1
107,CRYBA4,1
108,CRYGB,1
109,CRYGC,1
110,CRYGD,1
111,PCYT1A,1
112,CRYGS,1
113,CRYM,1
114,PDE3A,1
115,CREB1,1
116,CNGA1,1
117,CCND2,1
118,PPIB,1
119,CARS1,1
120,CTPS1,1
121,COX4I1,1
122,KRT4,1
123,CYCS,1
124,CYC1,1
125,CYP3A4,1
126,COX6B1,1
127,DCN,1
128,DSC2,1
129,DHFR,1
130,DLST,1
131,DHODH,1
132,CYP24A1,1
133,PCBD1,1
134,ERCC1,1
135,TOP1,1
136,TOP2A,1
137,SLC26A3,1
138,DAG1,1
139,SNRPE,1
140,NT5E,1
141,ELANE,1
142,ETFB,1
143,EPB41,1
144,RPS14,1
145,ENG,1
146,TYMP,1
147,GATA3,1
148,PDYN,1
149,EGF,1
150,NR2F1,1
151,ERCC3,1
152,CFD,1
153,F13B,1
154,FDPS,1
155,FGB,1
156,FGG,1
157,FMO3,1
158,FLT3,1
159,FOLR1,1
160,KDSR,1
161,FSHB,1
162,FOXO1,1
163,GALM,1
164,B4GALT1,1
165,GABRA5,1
166,ABAT,1
167,SLC6A1,1
168,GABRB1,1
169,LRRC32,1
170,TACSTD2,1
171,GSN,1
172,GFAP,1
173,NR3C1,1
174,H6PD,1
175,GLUD1,1
176,GOT2,1
177,GOT1,1
178,GPT2,1
179,GRIK2,1
180,GRIA4,1
181,GRIA2,1
182,GRIN1,1
183,GRIN2B,1
184,GRIN2A,1
185,GLUL,1
186,GFPT1,1
187,EPRS1,1
188,GSR,1
189,GPX4,1
190,GPD1,1
191,SHMT2,1
192,GLRA1,1
193,GLRB,1
194,GYS1,1
195,GYS2,1
196,GNRHR,1
197,GSC,1
198,CSF3R,1
199,CSF2RB,1
200,GHRHR,1
201,GNAL,1
202,GNAT1,1
203,GNAT2,1
204,GNAI3,1
205,GUCY1A1,1
206,NCKAP1L,1
207,HBG1,1
208,H1-4,1
209,SERPIND1,1
210,HGF,1
211,HSPG2,1
212,HPCA,1
213,HRG,1
214,HOXA1,1
215,HOXA11,1
216,HOXA13,1
217,HOXB1,1
218,HOXC13,1
219,HMX1,1
220,MNX1,1
221,HIVEP2,1
222,HADHB,1
223,IL7R,1
224,IL2RB,1
225,INSL3,1
226,FCGR3A,1
227,IGLL1,1
228,IL10RA,1
229,IGHM,1
230,IGHG2,1
231,TCF3,1
232,RBPJ,1
233,IGKC,1
234,CD79B,1
235,IGF2R,1
236,IGF1R,1
237,IGF1,1
238,IGF2,1
239,ITGA6,1
240,ITGB6,1
241,IFNGR2,1
242,ISG15,1
243,IRF9,1
244,IREB2,1
245,IDH2,1
246,JAK1,1
247,KRT6A,1
248,KRT6B,1
249,KRT3,1
250,KRT8,1
251,KRT13,1
252,KRT18,1
253,KIF11,1
254,LDHA,1
255,LAMB1,1
256,LAMC2,1
257,LAMA1,1
258,RPSA,1
259,BCL2,1
260,LIFR,1
261,LIPE,1
262,,1
263,KCNH2,1
264,LORICRIN,1
265,LHB,1
266,LEF1,1
267,LYZ,1
268,PLOD1,1
269,LOX,1
270,MSR1,1
